"Car_Class","Space","Position","Pole","Wall","Door","Map","Legroom","Perpendicular","SeatPole","Vestibule"
"R142b","12d",0,0,0,0,0,0,0,0,0
"R142b","12e",1,0,0,0,0,0,0,0,0
"R142b","13a",0,1,0,4,0,0,0,0,0
"R142b","13b",0,1,0,0,0,0,0,0,1
"R142b","13c",0,0,0,0,0,0,0,0,1
"R142b","13d",0,0,0,0,0,0,0,0,1
"R142b","13e",1,0,0,0,0,0,0,0,0
"R142b","14a",0,0,0,4,0,0,0,0,0
"R142b","14b",0,1,0,0,0,0,0,0,1
"R142b","14c",0,1,0,0,0,0,0,0,1
"R142b","14d",0,1,0,0,0,0,0,0,1
"R142b","14e",1,0,0,1,0,0,0,0,0
"R142b","15a",0,1,0,4,0,0,0,0,0
"R142b","15b",0,1,0,0,0,0,0,0,1
"R142b","15c",0,1,0,0,0,0,0,0,1
"R142b","15d",0,1,0,0,0,0,0,0,1
"R142b","15e",0,1,0,4,0,0,0,0,0
"R142b","16a",1,0,0,1,0,0,0,0,0
"R142b","16b",0,1,0,0,0,0,0,0,1
"R142b","16c",0,1,0,0,0,0,0,0,1
"R142b","16d",0,1,0,0,0,0,0,0,1
"R142b","16e",0,0,0,4,0,0,0,0,0
"R142b","17a",1,0,0,0,0,0,0,0,0
"R142b","17b",0,0,0,0,0,0,0,0,1
"R142b","17c",0,0,0,0,0,0,0,0,1
"R142b","17d",0,1,0,0,0,0,0,0,1
"R142b","17e",0,1,0,4,0,0,0,0,0
"R142b","18a",1,0,0,0,0,0,0,0,0
"R142b","18b",0,0,0,0,0,0,0,0,0
"R142b","18c",0,0,0,0,0,0,0,0,0
"R142b","18d",0,0,0,0,0,0,0,0,0
"R142b","18e",1,0,0,2,0,0,0,0,0
"R142b","19a",1,0,0,0,0,0,0,2,0
"R142b","19b",0,1,0,0,0,0,0,0,0
"R142b","19c",0,0,0,0,0,0,0,0,0
"R142b","19d",0,0,0,0,0,0,0,0,0
"R142b","19e",1,0,0,0,0,0,0,0,0
"R142b","20a",1,0,0,0,0,0,0,1,0
"R142b","20b",0,1,0,0,0,0,0,0,0
"R142b","20c",0,0,0,0,0,0,0,0,0
"R142b","20d",0,1,0,0,0,0,0,0,0
"R142b","20e",1,0,0,0,0,0,0,1,0
"R142b","21a",1,0,0,0,0,0,0,0,0
"R142b","21b",0,0,0,0,0,0,0,0,0
"R142b","21c",0,0,0,0,0,0,0,0,0
"R142b","21d",0,1,0,0,0,0,0,0,0
"R142b","21e",1,0,0,0,0,0,0,2,0
"R142b","22a",1,0,0,2,0,0,0,0,0
"R142b","22b",0,1,0,0,0,0,0,0,0
"R142b","22c",0,0,0,0,0,0,0,0,0
"R142b","22d",0,0,0,0,0,0,0,0,0
"R142b","22e",1,0,0,0,0,0,0,0,0
"R142b","23a",0,1,0,4,0,0,0,0,0
"R142b","23b",0,1,0,0,0,0,0,0,1
"R142b","23c",0,0,0,0,0,0,0,0,1
"R142b","23d",0,0,0,0,0,0,0,0,1
"R142b","23e",1,0,0,0,0,0,0,0,0
"R142b","24a",0,0,0,4,0,0,0,0,0
"R142b","24b",0,1,0,0,0,0,0,0,1
"R142b","24c",0,0,0,0,0,0,0,0,1
"R142b","24d",0,1,0,0,0,0,0,0,1
"R142b","24e",1,0,0,1,0,0,0,0,0
"R142b","25a",0,1,0,4,0,0,0,0,0
"R142b","25b",0,1,0,0,0,0,0,0,1
"R142b","25c",0,1,0,0,0,0,0,0,1
"R142b","25d",0,1,0,0,0,0,0,0,1
"R142b","25e",0,1,0,4,0,0,0,0,0
"R142b","26a",1,0,0,1,1,0,0,0,0
"R142b","26b",0,1,0,0,3,0,0,0,1
"R142b","26c",0,1,0,0,0,0,0,0,1
"R142b","26d",0,1,0,0,0,0,0,0,1
"R142b","26e",0,0,0,4,0,0,0,0,0
"R142b","27a",1,0,0,0,1,0,0,0,0
"R142b","27b",0,0,0,0,3,0,0,0,1
"R142b","27c",0,0,0,0,0,0,0,0,1
"R142b","27d",0,1,0,0,0,0,0,0,1
"R142b","27e",0,1,0,4,0,0,0,0,0
"R142b","28a",1,0,0,0,0,0,0,0,0
"R142b","28b",0,0,0,0,0,0,0,0,0
"R142b","28c",0,0,0,0,0,0,0,0,0
"R142b","28d",0,1,0,0,0,0,0,0,0
"R142b","28e",1,0,0,2,0,0,0,0,0
"R142b","29a",1,0,2,0,0,0,0,0,0
"R142b","29b",0,0,4,0,0,0,0,0,0
"R142b","29c",0,0,4,0,0,0,0,0,0
"R142b","29d",0,0,4,0,0,0,0,0,0
"R142b","29e",1,0,1,0,0,0,0,0,0
"R143a","01a",1,0,1,0,0,0,0,0,0
"R143a","01b",0,0,4,0,0,0,0,0,0
"R143a","01c",0,0,4,0,0,0,0,0,0
"R143a","01d",0,0,4,0,0,0,0,0,0
"R143a","01e",0,0,4,0,0,0,0,0,0
"R143a","01f",1,0,2,0,0,0,0,0,0
"R143a","02a",1,0,0,2,0,0,0,0,0
"R143a","02b",0,1,0,0,0,0,0,0,0
"R143a","02c",0,0,0,0,0,0,0,0,0
"R143a","02d",0,0,0,0,0,0,0,0,0
"R143a","02e",0,1,0,0,0,0,0,0,0
"R143a","02f",1,0,0,1,0,0,0,0,0
"R143a","03a",0,1,0,3,0,0,0,0,0
"R143a","03b",0,1,0,0,0,0,0,0,1
"R143a","03c",0,1,0,0,0,0,0,0,1
"R143a","03d",0,1,0,0,0,0,0,0,1
"R143a","03e",0,1,0,0,0,0,0,0,1
"R143a","03f",0,1,0,3,0,0,0,0,0
"R143a","04a",0,1,0,3,0,0,0,0,0
"R143a","04b",0,1,0,0,0,0,0,0,1
"R143a","04c",0,1,0,0,0,0,0,0,1
"R143a","04d",0,1,0,0,0,0,0,0,1
"R143a","04e",0,1,0,0,0,0,0,0,1
"R143a","04f",0,1,0,3,0,0,0,0,0
"R143a","05a",1,0,0,1,0,0,0,0,0
"R143a","05b",0,1,0,0,0,0,0,0,0
"R143a","05c",0,0,0,0,0,0,0,0,0
"R143a","05d",0,0,0,0,0,0,0,0,0
"R143a","05e",0,1,0,0,0,0,0,0,0
"R143a","05f",1,0,0,2,0,0,0,0,0
"R143a","06a",1,0,0,0,0,0,0,0,0
"R143a","06b",0,0,0,0,0,0,0,0,0
"R143a","06c",0,0,0,0,0,0,0,0,0
"R143a","06d",0,0,0,0,0,0,0,0,0
"R143a","06e",0,0,0,0,0,0,0,0,0
"R143a","06f",1,0,0,0,0,0,0,0,0
"R143a","07a",1,0,0,0,0,0,0,2,0
"R143a","07b",0,1,0,0,0,0,0,0,0
"R143a","07c",0,0,0,0,0,0,0,0,0
"R143a","07d",0,0,0,0,0,0,0,0,0
"R143a","07e",0,1,0,0,0,0,0,0,0
"R143a","07f",1,0,0,0,0,0,0,1,0
"R143a","08a",1,0,0,0,0,0,0,1,0
"R143a","08b",0,1,0,0,0,0,0,0,0
"R143a","08c",0,0,0,0,0,0,0,0,0
"R143a","08d",0,0,0,0,0,0,0,0,0
"R143a","08e",0,1,0,0,0,0,0,0,0
"R143a","08f",1,0,0,0,0,0,0,2,0
"R143a","09a",1,0,0,0,2,0,0,0,0
"R143a","09b",0,0,0,0,0,0,0,0,0
"R143a","09c",0,0,0,0,0,0,0,0,0
"R143a","09d",0,0,0,0,0,0,0,0,0
"R143a","09e",0,0,0,0,3,0,0,0,0
"R143a","09f",1,0,0,0,1,0,0,0,0
"R143a","10a",1,0,0,2,2,0,0,0,0
"R143a","10b",0,1,0,0,0,0,0,0,0
"R143a","10c",0,0,0,0,0,0,0,0,0
"R143a","10d",0,0,0,0,0,0,0,0,0
